wall_time_s,mid
1775872047.9336529,1227.0
1775872048.934905,1232.0
1775872049.9361238,1227.0
1775872050.936566,1227.0
1775872051.937815,1229.0
1775872052.9390469,1226.0
1775872053.940248,1226.0
1775872054.9415948,1225.0
1775872055.942956,1224.0
1775872056.944291,1226.5
1775872057.945011,1228.0
1775872058.94616,1221.0
1775872059.9472792,1222.0
1775872060.9485571,1225.0
1775872061.949007,1230.5
1775872062.950214,1232.0
1775872063.951589,1229.5
1775872064.952037,1238.0
1775872065.953202,1232.0
1775872066.954379,1238.0
1775872067.955557,1233.0
1775872068.95661,1231.0
1775872069.957849,1229.0
1775872070.95908,1236.0
1775872071.960261,1233.0
1775872072.960642,1235.5
1775872073.961477,1244.0
1775872074.962523,1246.0
1775872075.963728,1239.0
1775872076.964061,1244.0
1775872077.965418,1243.0
1775872078.966563,1240.0
1775872079.967815,1244.0
1775872080.968118,1244.0
1775872081.969408,1246.0
1775872082.9706619,1245.0
1775872083.970986,1240.0
1775872084.972357,1240.0
1775872085.973393,1235.0
1775872086.9747908,1234.0
1775872087.976149,1239.0
1775872088.977481,1237.0
1775872089.977951,1237.0
1775872090.9788349,1234.0
1775872091.979407,1235.0
1775872092.980711,1228.0
1775872093.982004,1220.0
1775872094.983042,1222.0
1775872095.9839559,1220.0
1775872096.985227,1222.0
1775872097.986461,1223.0
1775872098.987422,1219.0
1775872099.987865,1222.0
1775872100.9892118,1223.0
1775872101.98999,1227.5
1775872102.990653,1225.0
1775872103.991866,1224.0
1775872104.9931672,1223.0
1775872105.994459,1222.0
1775872106.995598,1227.0
1775872107.9967842,1230.0
1775872108.9979892,1226.0
1775872109.998805,1222.0
1775872110.999987,1221.0
1775872112.0012429,1222.0
1775872113.002232,1217.0
1775872114.0034182,1218.0
1775872115.003862,1221.0
1775872116.0052211,1223.0
1775872117.0066,1224.0
1775872118.007902,1224.0
1775872119.009113,1221.0
1775872120.010345,1220.0
1775872121.011575,1228.0
1775872122.012774,1225.0
1775872123.014084,1229.0
1775872124.015723,1225.0
1775872125.016476,1223.0
1775872126.017396,1226.5
1775872127.018049,1236.0
1775872128.019354,1238.0
1775872129.02069,1239.0
1775872130.0220401,1242.0
1775872131.02254,1252.0
1775872132.02367,1273.0
1775872133.0252001,1279.0
1775872134.02656,1284.0
1775872135.027958,1284.0
1775872136.028416,1284.0
1775872137.029113,1287.0
1775872138.030476,1286.0
1775872139.031532,1288.0
1775872140.032217,1276.0
1775872141.033165,1277.0
1775872142.0343812,1272.0
1775872143.035754,1270.0
1775872144.037171,1266.0
1775872145.038541,1268.0
1775872146.039878,1270.0
1775872147.0412312,1269.0
1775872148.042628,1272.0
1775872149.043912,1265.0
1775872150.045304,1270.0
1775872151.046695,1269.5
1775872152.0480618,1273.0
1775872153.0494459,1275.0
1775872154.0505369,1274.0
1775872155.0518541,1276.0
1775872156.053192,1279.0
1775872157.054676,1278.0
1775872158.056013,1278.0
1775872159.0571861,1277.0
1775872160.058501,1276.0
1775872161.0598552,1279.0
1775872162.061273,1276.0
1775872163.062721,1279.0
1775872164.064189,1276.0
1775872165.065632,1275.0
1775872166.066942,1265.0
1775872167.068307,1273.0
1775872168.069799,1281.0
1775872169.0702012,1284.0
1775872170.07083,1288.0
1775872171.071967,1228.0
1775872172.073428,1192.0
1775872173.0736861,1179.0
1775872174.0738711,1169.0
1775872175.075016,1160.0
1775872176.075247,1161.0
1775872177.075427,1164.5
1775872178.0756092,1162.0
1775872179.075812,1163.5
1775872180.0761511,1168.5
1775872181.076457,1177.0
1775872182.076738,1181.0
