tick_num,wall_time_s,symbol,best_bid,best_ask,mid,bid_size,ask_size,spread
1,1775872047.1221209,A,1224,1230,1227.0,40,140,6
2,1775872047.2752872,A,1226,1230,1228.0,40,140,4
3,1775872047.2762911,A,1226,1230,1228.0,40,140,4
4,1775872047.280225,A,1226,1230,1228.0,40,140,4
5,1775872047.2814689,A,1226,1230,1228.0,40,140,4
6,1775872047.283714,A,1226,1230,1228.0,40,140,4
7,1775872047.284582,A,1226,1230,1228.0,40,140,4
8,1775872047.284828,A,1226,1230,1228.0,40,140,4
9,1775872047.2853382,A,1226,1230,1228.0,40,140,4
10,1775872047.286031,A,1226,1230,1228.0,40,140,4
11,1775872047.286148,A,1226,1230,1228.0,40,40,4
12,1775872047.286433,A,1226,1230,1228.0,40,40,4
13,1775872047.286537,A,1226,1231,1228.5,40,60,5
14,1775872047.286813,A,1226,1231,1228.5,40,60,5
15,1775872047.2879412,A,1226,1232,1229.0,40,120,6
16,1775872047.2888288,A,1226,1232,1229.0,40,120,6
17,1775872047.2919621,A,1226,1232,1229.0,40,40,6
18,1775872047.4742022,A,1227,1232,1229.5,40,40,5
19,1775872047.475561,A,1227,1232,1229.5,40,40,5
20,1775872047.479846,A,1227,1232,1229.5,40,40,5
21,1775872047.481557,A,1227,1232,1229.5,40,40,5
22,1775872047.48288,A,1227,1232,1229.5,40,40,5
23,1775872047.484668,A,1227,1232,1229.5,40,40,5
24,1775872047.4852118,A,1227,1232,1229.5,40,40,5
25,1775872047.4853399,A,1227,1232,1229.5,40,40,5
26,1775872047.486315,A,1227,1232,1229.5,40,40,5
27,1775872047.488048,A,1227,1232,1229.5,40,40,5
28,1775872047.488859,A,1227,1232,1229.5,40,40,5
29,1775872047.4890509,A,1227,1233,1230.0,40,100,6
30,1775872047.489276,A,1227,1233,1230.0,40,100,6
31,1775872047.489388,A,1227,1233,1230.0,40,40,6
32,1775872047.489909,A,1227,1233,1230.0,40,40,6
33,1775872047.4900868,A,1227,1233,1230.0,40,40,6
34,1775872047.671026,A,1227,1233,1230.0,80,40,6
35,1775872047.673174,A,1227,1233,1230.0,80,80,6
36,1775872047.673395,A,1227,1233,1230.0,80,80,6
37,1775872047.6756842,A,1227,1233,1230.0,80,80,6
38,1775872047.680604,A,1227,1233,1230.0,80,80,6
39,1775872047.683427,A,1227,1233,1230.0,80,80,6
40,1775872047.68584,A,1227,1233,1230.0,80,80,6
41,1775872047.686709,A,1227,1233,1230.0,80,80,6
42,1775872047.6884952,A,1227,1233,1230.0,80,80,6
43,1775872047.690557,A,1227,1233,1230.0,80,80,6
44,1775872047.692543,A,1227,1233,1230.0,40,80,6
45,1775872047.692649,A,1227,1233,1230.0,40,40,6
46,1775872047.692769,A,1227,1233,1230.0,40,40,6
47,1775872047.6928692,A,1227,1233,1230.0,40,40,6
48,1775872047.692964,A,1227,1233,1230.0,40,40,6
49,1775872047.6930702,A,1227,1233,1230.0,40,40,6
50,1775872047.872285,A,1227,1233,1230.0,40,40,6
51,1775872047.8737102,A,1227,1230,1228.5,40,40,3
52,1775872047.8769531,A,1227,1230,1228.5,40,40,3
53,1775872047.87961,A,1227,1230,1228.5,40,40,3
54,1775872047.880543,A,1227,1230,1228.5,40,40,3
55,1775872047.882171,A,1227,1230,1228.5,40,40,3
56,1775872047.882947,A,1227,1230,1228.5,40,40,3
57,1775872047.884383,A,1227,1230,1228.5,40,40,3
58,1775872047.885037,A,1227,1230,1228.5,40,40,3
59,1775872047.8856719,A,1227,1230,1228.5,40,40,3
60,1775872047.885849,A,1226,1230,1228.0,60,40,4
61,1775872047.887232,A,1226,1230,1228.0,60,40,4
62,1775872047.887711,A,1225,1230,1227.5,80,40,5
63,1775872047.887794,A,1225,1230,1227.5,80,40,5
64,1775872047.888032,A,1224,1230,1227.0,140,40,6
65,1775872047.888146,A,1224,1230,1227.0,140,40,6
66,1775872048.0745459,A,1224,1230,1227.0,180,40,6
67,1775872048.076163,A,1224,1230,1227.0,180,80,6
68,1775872048.080172,A,1224,1230,1227.0,180,80,6
69,1775872048.080561,A,1224,1230,1227.0,180,80,6
70,1775872048.08075,A,1224,1230,1227.0,180,80,6
71,1775872048.083984,A,1224,1230,1227.0,180,80,6
72,1775872048.085106,A,1224,1230,1227.0,180,80,6
73,1775872048.08699,A,1224,1230,1227.0,180,80,6
74,1775872048.088576,A,1224,1230,1227.0,80,80,6
75,1775872048.088753,A,1224,1230,1227.0,80,80,6
76,1775872048.088971,A,1224,1230,1227.0,40,80,6
77,1775872048.0892339,A,1224,1230,1227.0,40,40,6
78,1775872048.089928,A,1224,1230,1227.0,40,40,6
79,1775872048.090552,A,1224,1230,1227.0,40,40,6
80,1775872048.090712,A,1224,1230,1227.0,40,40,6
81,1775872048.091455,A,1224,1230,1227.0,40,40,6
82,1775872048.2751858,A,1224,1230,1227.0,40,40,6
83,1775872048.2758021,A,1224,1229,1226.5,40,40,5
84,1775872048.2773602,A,1224,1229,1226.5,40,40,5
85,1775872048.278326,A,1224,1229,1226.5,40,40,5
86,1775872048.27897,A,1224,1229,1226.5,40,40,5
87,1775872048.279676,A,1224,1229,1226.5,40,40,5
88,1775872048.2805052,A,1224,1229,1226.5,40,40,5
89,1775872048.282071,A,1224,1229,1226.5,40,40,5
90,1775872048.2829592,A,1224,1229,1226.5,40,40,5
91,1775872048.283396,A,1224,1229,1226.5,40,40,5
92,1775872048.2843509,A,1223,1229,1226.0,100,40,6
93,1775872048.284495,A,1223,1229,1226.0,100,40,6
94,1775872048.286222,A,1223,1229,1226.0,40,40,6
95,1775872048.286741,A,1223,1229,1226.0,40,40,6
96,1775872048.2875462,A,1223,1229,1226.0,40,40,6
97,1775872048.288666,A,1223,1229,1226.0,40,40,6
98,1775872048.4723132,A,1224,1229,1226.5,40,40,5
99,1775872048.47262,A,1224,1229,1226.5,40,40,5
100,1775872048.4728901,A,1224,1229,1226.5,40,40,5
101,1775872048.4735382,A,1224,1229,1226.5,40,40,5
102,1775872048.473679,A,1224,1229,1226.5,40,40,5
103,1775872048.4749172,A,1224,1229,1226.5,40,40,5
104,1775872048.4761338,A,1224,1229,1226.5,40,40,5
105,1775872048.478395,A,1224,1229,1226.5,40,40,5
106,1775872048.479197,A,1224,1229,1226.5,40,40,5
107,1775872048.480812,A,1224,1229,1226.5,40,40,5
108,1775872048.4821079,A,1224,1229,1226.5,40,40,5
109,1775872048.4825442,A,1224,1230,1227.0,40,100,6
110,1775872048.4827049,A,1224,1230,1227.0,40,100,6
111,1775872048.483754,A,1224,1230,1227.0,40,40,6
112,1775872048.484214,A,1224,1230,1227.0,40,40,6
113,1775872048.4845,A,1224,1230,1227.0,40,40,6
114,1775872048.672599,A,1229,1230,1229.5,40,40,1
115,1775872048.6729941,A,1229,1230,1229.5,40,40,1
116,1775872048.676482,A,1229,1227,1228.0,40,133,-2
117,1775872048.676845,A,1224,1227,1225.5,40,133,3
118,1775872048.677066,A,1224,1227,1225.5,40,93,3
