strategy,wf_sharpe,wf_maxdd,val_sharpe,val_maxdd,test_sharpe,test_maxdd,test_sortino,test_calmar,runtime
MinCVaR ra=0.3 sw=0.2,0.4161,-17.32,0.8966,-8.4,1.7957,-9.55,3.1278,3.6873,0.2
MinCVaR ra=0.3 sw=0.1,0.4913,-16.99,0.6513,-8.65,1.7666,-10.32,2.913,3.1781,0.2
Mom+RP b=1.0 tv=0.12,0.451,-15.98,1.0469,-8.4,1.7058,-8.43,3.0003,3.4035,0.0
Mom+MV b=1.0 tv=0.12,0.451,-15.98,1.0469,-8.4,1.7058,-8.43,3.0003,3.4035,0.0
Mom+MV b=1.0 tv=0.16,0.4351,-20.78,1.0468,-11.14,1.7057,-9.61,3.0,3.46,0.0
Mom+MV b=1.0 tv=0.2,0.432,-23.32,1.0467,-11.57,1.7057,-9.61,3.0,3.46,0.0
Mom+MV b=1.0 tv=0.14,0.4411,-18.41,1.0468,-9.78,1.7057,-9.61,3.0,3.46,0.0
Mom+RP b=1.0 tv=0.16,0.4351,-20.78,1.0468,-11.14,1.7057,-9.61,3.0,3.46,0.0
Mom+RP b=1.0 tv=0.14,0.4411,-18.41,1.0468,-9.78,1.7057,-9.61,3.0,3.46,0.0
MinCVaR ra=0.5 sw=0.2,0.4432,-18.17,0.6372,-9.04,1.6667,-10.24,2.7927,2.946,0.2
Mom+MV b=0.9 tv=0.12,0.4972,-15.26,0.9921,-8.49,1.6589,-8.3,2.8676,3.3296,0.0
Mom+MV b=0.9 tv=0.2,0.48,-22.17,0.992,-11.43,1.6588,-9.3,2.8674,3.3743,0.0
Mom+MV b=0.9 tv=0.16,0.4869,-19.87,0.992,-11.26,1.6588,-9.3,2.8674,3.3743,0.0
Mom+MV b=0.9 tv=0.14,0.4894,-17.6,0.9921,-9.88,1.6588,-9.3,2.8674,3.3743,0.0
Mom+MV b=0.7 lb=40,0.7156,-13.99,0.7165,-13.82,1.6345,-9.1,2.7603,3.2444,0.0
Mom+MV b=0.8 tv=0.2,0.5284,-21.0,0.9351,-11.3,1.6071,-9.34,2.7257,3.1584,0.0
Mom+MV b=0.8 tv=0.16,0.5398,-18.92,0.9351,-11.3,1.6071,-9.34,2.7257,3.1584,0.0
Mom+MV b=0.8 tv=0.12,0.5431,-14.51,0.9352,-8.58,1.6071,-8.47,2.7259,3.128,0.0
Mom+MV b=0.8 tv=0.14,0.5441,-16.74,0.9351,-9.98,1.6071,-9.34,2.7257,3.1584,0.0
Mom+MV b=0.7 sc=30,0.5937,-15.95,0.8772,-10.05,1.562,-9.47,2.5975,2.9549,0.0
Mom+MV b=0.7 sc=25,0.5959,-15.91,0.8767,-10.06,1.5573,-9.47,2.5871,2.9425,0.0
Mom+RP b=0.7 tv=0.12,0.5902,-13.73,0.8761,-8.65,1.5505,-8.7,2.566,2.9023,0.0
Mom+MV b=0.7 tv=0.12,0.5902,-13.73,0.8761,-8.65,1.5505,-8.7,2.566,2.9023,0.0
Mom+MV b=0.7 tv=0.2,0.5769,-19.82,0.876,-11.17,1.5504,-9.46,2.5659,2.9244,0.0
Mom+MV b=0.7 tv=0.14,0.5991,-15.85,0.876,-10.07,1.5504,-9.46,2.5659,2.9244,0.0
Mom+RP b=0.7 tv=0.16,0.5935,-17.93,0.876,-11.17,1.5504,-9.46,2.5659,2.9244,0.0
SectorCov+RP+Mom b=0.7 tv=0.14,0.5991,-15.85,0.876,-10.07,1.5504,-9.46,2.5659,2.9244,0.0
SectorCov+RP+Mom b=0.7 tv=0.16,0.5935,-17.93,0.876,-11.17,1.5504,-9.46,2.5659,2.9244,0.0
Mom+MV b=0.7 lb=50,0.5991,-15.85,0.876,-10.07,1.5504,-9.46,2.5659,2.9244,0.0
Mom+RP b=0.7 tv=0.14,0.5991,-15.85,0.876,-10.07,1.5504,-9.46,2.5659,2.9244,0.0
Mom+MV b=0.7 sc=20,0.5991,-15.85,0.876,-10.07,1.5504,-9.46,2.5659,2.9244,0.0
