strategy,wf_sharpe,wf_maxdd,val_sharpe,val_maxdd,test_sharpe,test_maxdd,test_sortino,test_calmar,runtime_s
B4: Current Sector Sharpe,0.4443,-18.31,1.0432,-9.83,1.7104,-9.6,3.0229,3.4768,0.0
C: SectorMom+MinVar blend=0.7,0.5726,-19.07,0.8509,-11.15,1.5544,-9.47,2.5807,2.9344,0.0
C: SectorMom+MinVar blend=0.5,0.6507,-16.58,0.7218,-10.93,1.4247,-9.71,2.2811,2.4855,0.0
C: SectorMom+MinVar blend=0.3,0.7243,-14.34,0.5934,-10.86,1.2739,-9.95,1.9762,2.0652,0.0
A: RF HRP-CDaR,0.7222,-13.76,0.4389,-9.98,1.2365,-10.76,1.8787,1.8975,1.0
B: SK RiskBudget-CDaR,0.745,-13.75,0.6637,-10.03,1.1759,-11.46,1.7835,1.6023,0.3
A: RF HRP-CVaR,0.7643,-12.36,0.3809,-10.83,1.0662,-10.8,1.6278,1.5222,0.3
B: SK HRP-CDaR,0.6351,-13.43,0.5768,-10.15,1.0658,-11.53,1.5979,1.4494,0.1
B2: Inverse Vol,0.8059,-12.34,0.372,-10.91,1.0189,-10.49,1.5336,1.4652,0.0
B1: Equal Weight,1.14,-12.36,0.4052,-10.76,1.0115,-10.32,1.5272,1.4849,0.0
D: SB Markowitz K=15,0.8222,-12.36,0.4052,-10.76,1.0115,-10.32,1.5272,1.4849,0.0
B3: Min Variance (LW),0.8222,-12.36,0.4052,-10.76,1.0115,-10.32,1.5272,1.4849,2.0
C: Risk Parity (LW),0.8222,-12.36,0.4052,-10.76,1.0115,-10.32,1.5272,1.4849,0.0
D: SB Markowitz K=20,0.8222,-12.36,0.4052,-10.76,1.0115,-10.32,1.5272,1.4849,0.0
D: SB Markowitz K=10,0.8222,-12.36,0.4052,-10.76,1.0115,-10.32,1.5272,1.4849,3.4
C: Mean-CVaR SectorSignal,0.351,-20.35,0.6357,-10.5,0.9896,-12.53,1.5368,1.2246,0.2
B: SK RiskBudget-CVaR,0.7585,-12.51,0.3744,-10.4,0.9893,-10.5,1.4852,1.4047,0.2
A: RF CDaR MinRisk (ledoit),0.3169,-18.93,1.1626,-9.13,0.9346,-15.42,1.4487,0.9906,0.3
A: RF CDaR MinRisk (hist),0.3169,-18.93,1.1626,-9.13,0.9346,-15.42,1.4487,0.9906,0.4
B: SK HRP-Variance,0.7342,-12.19,0.3102,-10.93,0.9052,-11.12,1.3568,1.1897,0.1
C: Max Diversification,0.5853,-16.24,0.1074,-11.87,0.8754,-9.59,1.3108,1.3373,0.1
A: RF MAD MinRisk (hist),0.3049,-19.24,0.0314,-11.73,0.8702,-10.22,1.3138,1.1975,0.3
A: RF MAD MinRisk (ledoit),0.3049,-19.24,0.0314,-11.73,0.8702,-10.22,1.3138,1.1975,0.3
B: SK HRP-CVaR,0.7679,-11.91,0.4013,-10.99,0.8399,-11.23,1.2627,1.0872,0.1
A: RF CVaR MinRisk (hist),0.1191,-22.54,0.0856,-10.11,0.7617,-12.67,1.1461,0.8364,10.2
A: RF CVaR MinRisk (ledoit),0.1191,-22.54,0.0856,-10.11,0.7617,-12.67,1.1461,0.8364,0.3
B: SK NCO (CVaR+CDaR),0.6207,-22.11,0.0755,-12.26,0.7561,-12.22,1.1441,0.8789,2.3
C: Sector Min-CVaR,0.1912,-23.08,0.0844,-10.08,0.7452,-12.58,1.1134,0.8201,1.5
A: RF MSV MinRisk (ledoit),0.3607,-20.34,-0.017,-11.52,0.7069,-10.86,1.056,0.8857,0.4
A: RF MSV MinRisk (hist),0.3607,-20.34,-0.017,-11.52,0.7069,-10.86,1.056,0.8857,0.3
B: SK CVaR min,,,,,,,,,1.8
B: SK CVaR max,,,,,,,,,0.0
B: SK CDaR min,,,,,,,,,0.0
B: SK CDaR max,,,,,,,,,0.0
B: SK Variance min,,,,,,,,,0.0
B: SK Variance max,,,,,,,,,0.0
B: SK CVaR MaxRatio L2=0.001,,,,,,,,,0.0
B: SK CVaR MaxRatio L2=0.01,,,,,,,,,0.0
B: SK CVaR MaxRatio L2=0.05,,,,,,,,,0.0
B: SK CVaR MaxRatio L2=0.1,,,,,,,,,0.0
