earnings_tick,wall_time_s,eps,pre_mid,mid_1s,mid_2s,mid_5s,mid_10s,mid_15s,settled_mid
150,1775752991.135938,0.9026640408883873,1179.0,1175.0,1161.5,1132.5,1089.0,1076.0,1076.0
300,1775753021.13376,1.033611102345746,1087.5,1074.5,1069.5,1140.0,1234.0,1225.0,1225.0
600,1775753081.1402209,0.8849116587175607,1217.0,1230.5,1235.0,1146.5,1069.0,1071.0,1071.0
750,1775753111.131063,1.051819430974404,1066.0,1054.5,1048.0,1162.5,,1232.5,1232.5
1050,1775753171.146366,1.0947723388088193,1226.0,1225.0,1231.5,1247.5,1276.5,1276.0,1276.0
1200,1775753201.173801,1.0848599506732186,1275.0,1282.0,1283.0,1279.0,1266.0,1271.0,1271.0
1500,1775753261.129857,0.9625995060256206,1090.0,1077.0,1068.0,1108.0,1148.5,1139.0,1139.0
1650,1775753291.148664,1.0096538086552662,1139.5,1140.5,1137.0,1168.0,1196.0,1197.0,1197.0
1950,1775753351.132624,0.9939191508199556,1188.0,1187.5,1183.0,1170.5,1176.5,1170.5,1170.5
2100,1775753381.2039318,0.9033977621187388,1174.5,1164.0,1156.0,1121.0,1080.0,1081.0,1081.0
2400,1775753441.133727,1.0036306305257632,1109.0,1108.0,1108.0,1112.5,,1187.0,1187.0
2550,1775753471.1311538,0.8220290812018602,1180.0,1193.5,1202.0,,988.0,1001.5,1001.5
2850,1775753531.1361752,0.9158182622695442,1014.0,1018.0,1022.0,1056.0,1095.5,1105.0,1105.0
3000,1775753561.140167,0.8988603897705634,1096.0,1094.0,1103.0,1108.5,1079.0,1073.0,1073.0
3300,1775753621.1334069,0.8505947476029596,1085.5,1084.5,1083.0,1056.0,1038.5,1033.5,1033.5
3450,1775753651.13871,0.9810052555915738,1033.0,1046.5,1062.0,1098.0,1162.5,1157.0,1157.0
3750,1775753711.144264,0.8886715020968464,1164.5,1162.0,1159.0,1163.0,1074.0,1068.5,1068.5
3900,1775753741.158154,0.9878073839302955,1075.5,1068.0,1073.0,1126.0,1169.5,1172.0,1172.0
4200,1775753801.1335099,1.0621431221892106,1027.0,1032.5,1028.0,1024.0,1223.0,1239.0,1239.0
4350,1775753831.135721,0.925951252107753,1236.0,1237.5,1238.0,1224.5,1101.0,1107.5,1107.5
