wall_time_s,mid
1775752965.595114,1172.0
1775752966.596291,1177.0
1775752967.597426,1177.0
1775752968.5985851,1178.0
1775752969.599781,1182.5
1775752970.600988,1185.0
1775752971.602169,1184.0
1775752972.603363,1182.0
1775752973.604589,1186.0
1775752974.6057432,1184.0
1775752975.607121,1189.0
1775752976.6084201,1187.0
1775752977.6097422,1190.0
1775752978.611039,1187.0
1775752979.612315,1183.0
1775752980.613536,1183.0
1775752981.614768,1182.0
1775752982.616071,1186.0
1775752983.617266,1185.0
1775752984.6185331,1188.0
1775752985.61984,1195.0
1775752986.6211112,1186.0
1775752987.62254,1179.0
1775752988.6240041,1181.0
1775752989.6253812,1179.0
1775752990.6265018,1178.0
1775752991.627805,1179.0
1775752992.629138,1166.0
1775752993.6305358,1154.0
1775752994.631711,1142.0
1775752995.632946,1135.0
1775752996.634233,1126.0
1775752997.635535,1118.5
1775752998.6369789,1112.0
1775752999.638332,1097.0
1775753000.639681,1091.0
1775753001.641093,1090.0
1775753002.642432,1094.0
1775753003.6438222,1088.0
1775753004.6452212,1081.0
1775753005.646676,1077.0
1775753006.6480992,1081.0
1775753007.649507,1080.0
1775753008.650961,1081.5
1775753009.652367,1082.0
1775753010.653676,1086.0
1775753011.655091,1082.0
1775753012.656687,1077.0
1775753013.6581252,1081.0
1775753014.6595142,1080.0
1775753015.660852,1084.0
1775753016.662179,1084.0
1775753017.66348,1094.5
1775753018.6648479,1089.0
1775753019.666166,1084.0
1775753020.6676018,1083.5
1775753021.669069,1083.0
1775753022.67051,1069.0
1775753023.6719959,1073.0
1775753024.673258,1091.5
1775753025.67456,1130.0
1775753026.676024,1170.5
1775753027.677377,1218.0
1775753028.678841,1248.5
1775753029.680233,1270.0
1775753030.6815848,1247.5
1775753031.6829839,1213.0
1775753032.6844,1214.0
1775753033.685875,1218.0
1775753034.687285,1218.0
1775753035.6888142,1225.0
1775753036.69036,1224.0
1775753037.691831,1220.0
1775753038.693137,1212.0
1775753039.694258,1200.0
1775753040.695434,1199.0
1775753041.696786,1198.0
1775753042.69832,1202.0
1775753043.69968,1206.0
1775753044.701042,1208.0
1775753045.702549,1209.0
1775753046.704173,1208.0
1775753047.7056918,1214.0
1775753048.707171,1210.0
1775753049.7085881,1216.0
1775753050.710065,1215.0
1775753051.711047,1220.0
1775753052.712577,1219.0
1775753053.713967,1216.0
1775753054.714699,1218.0
1775753055.7160928,1213.0
1775753056.717553,1213.0
1775753057.718975,1212.0
1775753058.720403,1211.0
1775753059.7212312,1211.0
1775753060.722656,1214.0
1775753061.723246,1216.0
1775753062.7247941,1219.0
1775753063.726391,1213.0
1775753064.727958,1216.0
1775753065.729148,1218.0
1775753066.729888,1218.0
1775753067.7300842,1220.0
1775753068.730222,1212.0
1775753069.73062,1211.0
1775753070.730921,1215.5
1775753071.731154,1211.0
1775753072.731393,1213.0
1775753073.733147,1213.0
1775753074.733558,1214.5
1775753075.733736,1217.5
1775753076.733844,1216.0
1775753077.734545,1214.0
1775753078.734882,1217.0
1775753079.735113,1219.5
1775753080.7353432,1219.5
1775753081.736614,1220.0
1775753082.736966,1237.0
1775753083.737219,1228.5
1775753084.737355,1206.5
1775753085.737597,1177.0
1775753086.737942,1128.0
1775753087.738317,1070.0
1775753088.738574,1033.5
1775753089.7388191,1018.5
1775753090.739153,1037.5
1775753091.739397,1070.0
1775753092.739659,1077.5
1775753093.739829,1079.5
1775753094.740074,1070.0
1775753095.7402308,1067.5
1775753096.740417,1070.0
1775753097.7406888,1063.0
1775753098.740957,1069.0
1775753099.741215,1068.0
1775753100.741515,1067.5
1775753101.741813,1068.5
1775753102.741935,1069.0
1775753103.7421172,1067.5
1775753104.74234,1070.0
1775753105.7425659,1072.0
1775753106.74273,1075.5
1775753107.743155,1072.5
1775753108.743375,1071.0
1775753109.7436328,1072.0
1775753110.743895,1067.0
1775753111.744811,1053.0
1775753112.744929,1051.0
1775753113.745166,1057.5
1775753114.7529979,1074.0
1775753115.753155,1165.0
1775753116.753356,1153.0
1775753117.753778,1262.0
1775753118.7539442,1256.0
1775753119.7542222,1291.0
1775753120.754391,1269.5
1775753121.7545311,1230.0
1775753122.754754,1228.0
1775753123.7552938,1227.0
1775753124.7557812,1228.0
1775753125.755946,1229.0
1775753126.756184,1230.0
1775753127.756531,1236.0
1775753128.75784,1242.5
1775753129.758589,1243.0
1775753130.759528,1239.0
1775753131.7600682,1232.0
1775753132.7607,1237.0
1775753133.760911,1234.0
1775753134.761597,1225.0
1775753135.762561,1226.0
1775753136.763746,1230.0
1775753137.764786,1233.0
1775753138.76507,1235.0
1775753139.766253,1234.0
1775753140.7673888,1237.0
1775753141.768636,1242.0
1775753142.7697558,1243.0
1775753143.770955,1240.0
1775753144.77403,1240.0
1775753145.775177,1235.0
1775753146.776511,1231.0
1775753147.7778518,1231.0
1775753148.779166,1232.0
1775753149.780405,1229.0
1775753150.781721,1226.0
1775753151.782961,1226.0
1775753152.7841952,1228.0
1775753153.7855492,1228.0
1775753154.7858791,1229.0
1775753155.7870898,1235.0
1775753156.7874649,1238.0
1775753157.788749,1238.0
1775753158.790009,1242.0
1775753159.791276,1234.0
1775753160.7916422,1238.0
1775753161.7929652,1240.0
1775753162.7932212,1237.0
1775753163.794444,1229.0
1775753164.795697,1228.5
1775753165.796968,1223.0
1775753166.7983308,1220.0
1775753167.798657,1219.0
1775753168.799891,1218.0
1775753169.8012202,1229.0
1775753170.802491,1225.0
1775753171.8037498,1226.0
1775753172.80492,1231.5
1775753173.805395,1235.0
1775753174.806549,1229.0
1775753175.8077161,1250.0
1775753176.8090491,1253.5
1775753177.810378,1281.0
1775753178.8116748,1285.5
1775753179.8129559,1290.0
1775753180.814074,1279.5
1775753181.815163,1280.0
1775753182.8166,1282.0
1775753183.817821,1280.0
1775753184.819134,1280.0
1775753185.820398,1276.0
1775753186.820648,1274.0
1775753187.821905,1270.0
1775753188.8232372,1266.0
1775753189.824578,1266.0
1775753190.8260548,1268.0
1775753191.827393,1265.0
1775753192.8287392,1273.5
1775753193.830064,1278.0
1775753194.831386,1272.0
1775753195.832777,1281.0
1775753196.834188,1281.0
1775753197.835569,1279.0
1775753198.836898,1276.0
1775753199.838229,1276.0
1775753200.8396358,1278.0
1775753201.840939,1282.0
1775753202.842442,1282.5
1775753203.843949,1284.0
1775753204.84537,1289.0
1775753205.846774,1278.0
1775753206.848246,1272.0
1775753207.849675,1267.0
1775753208.8510358,1273.0
1775753209.852405,1274.0
1775753210.853916,1273.0
1775753211.855283,1265.5
1775753212.85612,1263.5
1775753213.857166,1262.0
1775753214.8587048,1267.0
1775753215.860279,1267.0
1775753216.8618429,1266.0
1775753217.863374,1262.0
1775753218.864834,1265.0
1775753219.866383,1265.0
1775753220.8678231,1268.0
1775753221.869258,1270.0
1775753222.870664,1268.0
1775753223.8722198,1266.0
1775753224.873739,1268.0
1775753225.8751721,1270.0
1775753226.87667,1261.0
1775753227.878117,1268.5
